,blue1,blue2,bluescore,red1,red2,redscore
0,4042K,53308B,7,99484C,68103B,25
1,901B,901J,34,79002A,12962A,3
2,901C,50080C,15,99484A,901T,18
3,4042Z,4042X,15,12963A,99484B,19
4,99484A,4042K,20,4042M,901B,11
5,99484C,79002A,18,4042Z,50080C,16
6,12963A,68103B,18,99484B,4042M,12
7,12962A,901T,4,901C,53308B,22
8,99484C,99484A,16,901J,4042X,13
9,4042M,99484B,24,12962A,50080C,4
10,12963A,79002A,3,4042K,901C,30
11,901B,4042Z,14,901T,53308B,16
12,41200H,65524A,7,1462C,12044B,20
13,98292B,16101G,11,464Z,3260S,26
14,1462D,1111A,4,1462B,66744A,19
15,41200G,48766B,4,4001F,12044C,18
16,99114B,98654A,15,31726A,98769A,11
17,65524B,4001E,17,95506A,98292A,9
18,98292C,3260A,13,15963A,46712A,11
19,464V,464M,4,16101X,59822A,18
20,3260R,99114A,15,16101Y,12044A,21
21,1462A,16101Z,12,4001A,65524C,14
22,66744A,65524B,19,48766A,98292B,4
23,464Z,12044B,21,98292C,12044C,6
24,59822A,4001F,14,3260A,3260S,11
25,31726A,16101G,13,41200G,41200H,11
26,16101X,95506A,26,1111A,1462A,6
27,1462B,464M,15,16101Z,48766B,19
28,4001A,99114B,24,1462D,99114A,7
29,98292A,46712A,19,65524A,98654A,5
30,1462C,12044A,21,48766A,4001E,6
31,16101Y,15963A,18,98769A,464V,14
32,98292C,31726A,6,65524C,3260R,17
33,3260A,16101Z,29,12044B,1462D,2
34,98654A,59822A,18,65524B,16101G,11
35,1462B,1462C,32,98292A,98292B,2
36,12044C,3260S,16,15963A,95506A,15
37,65524C,4001E,15,16101Y,65524A,19
38,99114A,4001F,14,1462A,464V,18
39,46712A,66744A,10,3260R,464Z,20
40,41200G,1111A,4,99114B,464M,22
41,98769A,48766B,3,4001A,12044A,24
42,48766A,16101Y,16,41200H,16101X,22
43,12044C,59822A,19,4001E,99114A,11
44,3260R,1462D,12,3260S,98654A,19
45,464V,1462C,23,41200G,65524B,11
46,98769A,98292A,11,98292C,1462A,15
47,3260A,65524A,11,31726A,66744A,13
48,16101X,46712A,27,99114B,1462B,6
49,464Z,95506A,13,464M,4001A,19
50,48766A,15963A,2,16101G,16101Z,33
